Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-09-04,244.1129041934382,246.86765050812107,244.1129041934382,245.76576232910156,11743445,0.0,0
2017-09-05,246.10483068173016,248.77481069979976,243.85865783691406,243.85865783691406,24542486,0.0,0
2017-09-06,243.13816974743696,243.56197690200207,239.9172198524605,241.90911865234375,15443129,0.0,0
2017-09-07,242.03626626883027,244.19769837244291,241.10391118149542,242.88388061523438,13537682,0.0,0
2017-09-08,242.2057949353182,242.54483549408383,239.0526685912386,240.6800994873047,11623369,0.0,0
2017-09-11,241.14627702221534,241.6658701941025,238.56106366109893,240.6800994873047,16026636,0.0,0
2017-09-12,240.4681982739392,242.24816769178025,239.3069449013423,240.08676147460938,18164315,0.0,0
2017-09-13,239.4510359329108,242.16341199652706,238.2643811052544,241.61244201660156,19175920,0.0,0
2017-09-14,241.57007024984446,242.24815132825316,238.56104989709516,239.45103454589844,15474901,0.0,0
2017-09-15,238.561046346759,241.109812727491,236.39961444062013,241.06149291992188,112639293,0.0,0
2017-09-18,241.5700776320058,245.25720504297408,241.0191335055705,243.7738800048828,24233831,0.0,0
2017-09-19,242.62960152877002,243.13817529928818,239.5781847727975,241.57008361816406,25374306,0.0,0
2017-09-20,242.37532063460253,244.87576731172922,241.65484330260017,243.13816833496094,13648998,0.0,0
2017-09-21,243.05338309590715,243.22291629060436,238.09483462305215,239.49339294433594,15500551,0.0,0
2017-09-22,239.02725636385415,243.05342468913184,237.961814808872,239.70533752441406,12272290,0.0,0
2017-09-25,239.53581860005514,243.68912370897198,238.64580801927065,243.2229461669922,13049135,0.0,0
2017-09-26,243.43485122360616,245.04531331224638,241.23104874419144,241.993896484375,13727216,0.0,0
2017-09-27,242.62959173732835,242.88386567875784,240.76482994306065,241.2310333251953,13523438,0.0,0
2017-09-28,241.52771602705837,241.74383595491355,238.22199941423054,239.32391357421875,13427273,0.0,0
2017-09-29,240.0019693671299,241.74381044024975,239.53579187715746,240.63768005371094,15994369,0.0,0
2017-10-02,240.08673498174602,240.63767906776545,239.1119837730757,240.00196838378906,15651175,0.0,0
2017-10-03,239.8748540077767,241.37936426143,235.70967597253502,236.78106689453125,16659689,0.0,0
2017-10-04,238.1796294155138,239.73923669624224,236.48440073639983,236.69630432128906,15872374,0.0,0
2017-10-05,237.20487331128504,237.95077805378355,236.31486275242992,236.908203125,15025571,0.0,0
2017-10-06,237.671029209209,241.45986592039358,237.33198868451504,240.00196838378906,18450644,0.0,0
2017-10-09,237.45914726116575,238.73056874484197,236.61153293871496,236.908203125,16214201,0.0,0
2017-10-10,235.59438595310183,237.54388833837424,234.2805683742152,234.83151245117188,16617670,0.0,0
2017-10-11,235.00108006859904,235.63679083524087,231.90729284436958,233.9839324951172,22978604,0.0,0
2017-10-12,233.8144103809073,237.2048675889186,232.96679607890448,236.48439025878906,16902143,0.0,0
2017-10-13,235.63677676200567,236.78106124704686,232.966796875,232.966796875,17023082,0.0,0
2017-10-16,233.85679097764162,233.8991872148775,231.3139479604136,231.7801513671875,20097755,0.0,0
2017-10-17,231.0596678750693,232.5853632980716,227.16063684534143,228.85586547851562,24590535,0.0,0
2017-10-18,228.85586807409288,230.9325335201383,228.55919788649547,230.00015258789062,12175783,0.0,0
2017-10-19,230.38153568455238,233.17867814340352,229.4915510964058,231.1444091796875,21729175,0.0,0
2017-10-20,230.55107567559224,232.11916720931262,229.06775074017943,229.57632446289062,16267209,0.0,0
2017-10-23,229.4067991344845,232.92439321425474,229.3220325332696,232.03440856933594,15357260,0.0,0
2017-10-24,232.07679085096188,232.75489782835925,229.78824770347848,231.01727294921875,14074280,0.0,0
2017-10-25,230.46631928491902,231.39870017333016,223.90408575513607,224.66015625,25991514,0.0,0
2017-10-26,224.27875400922113,226.31302320165142,221.56637784122324,224.57542419433594,19267608,0.0,0
2017-10-27,225.21113061001563,226.3553892251338,222.71065806979917,222.9225616455078,14064503,0.0,0
2017-10-30,222.202068851667,223.47349021744097,220.37970340081782,222.15969848632812,17460008,0.0,0
2017-10-31,222.4563942129854,222.76152295961663,220.63400268554688,220.63400268554688,16300912,0.0,0
2017-11-01,223.38872569413667,223.38872569413667,220.50684241171314,220.8035125732422,22558344,0.0,0
2017-11-02,226.31302881540415,226.9911099406555,211.39501125564303,214.9550018310547,42168784,0.0,0
2017-11-03,215.0397606565009,216.58495998008326,210.2007305831639,211.73406982421875,23250312,0.0,0
2017-11-06,210.9288367094432,214.10739053005827,209.02170441707415,213.8531036376953,22683513,0.0,0
2017-11-07,213.6411897640992,214.36165416861138,210.0388289408344,210.6321563720703,20397401,0.0,0
2017-11-08,210.674536994661,212.9630930195003,209.360732242056,212.87832641601562,26267947,0.0,0
2017-11-09,212.92073358061168,213.34454077839698,208.97933181463628,211.0559844970703,23337347,0.0,0
2017-11-10,212.4545518954902,212.62408512849717,208.30124635821514,209.99647521972656,16798200,0.0,0
2017-11-13,210.71691736126402,211.26786147553645,206.8178864595021,207.19931030273438,17013893,0.0,0
2017-11-14,208.55550304369476,209.3480203522035,205.87703872669775,206.60598754882812,21417707,0.0,0
2017-11-15,207.41121681251428,212.03071216501525,207.2416965390732,209.4878692626953,32520155,0.0,0
2017-11-16,210.03882012251105,210.33547735889007,205.71598214265723,207.53836059570312,23080406,0.0,0
2017-11-17,207.79262829776624,209.91166392361973,207.00096465849322,208.00453186035156,18319933,0.0,0
2017-11-20,206.18216326109496,209.36071665155376,205.75835614236712,208.3435821533203,14919891,0.0,0
2017-11-21,208.80978701749433,208.8521573854451,206.0974109231223,208.0893096923828,21718535,0.0,0
2017-11-22,207.87741087495192,213.3869039256642,206.8602762830725,211.6492919921875,26798000,0.0,0
2017-11-23,212.1155024915335,212.1155024915335,209.40313901242155,211.0559844970703,15724771,0.0,0
2017-11-24,211.14071679333077,211.14071679333077,207.4535895984403,208.89453125,13361151,0.0,0
2017-11-27,209.0640466252824,211.01356195935855,207.83500856691924,208.72500610351562,11854746,0.0,0
2017-11-28,208.68266160275888,211.56455830784034,208.2164710984812,211.0559844970703,31191246,0.0,0
2017-11-29,211.90358536145587,217.79451538135908,211.31025790915749,216.48069763183594,36466440,0.0,0
2017-11-30,217.37068375738266,221.77826231678546,213.93783054042595,221.0577850341797,47829537,0.0,0
2017-12-01,221.22733678170482,221.3544737558533,216.81974491912777,217.92164611816406,23273343,0.0,0
2017-12-04,219.53211555358672,220.16782631291179,217.75212025404915,218.85403442382812,28330888,0.0,0
2017-12-05,219.57447465868108,220.4644851963561,217.62497211029225,218.76925659179688,13884418,0.0,0
2017-12-06,218.38781960679768,219.40496711544614,216.52307073022192,218.00640869140625,11334917,0.0,0
2017-12-07,217.37068807344698,224.66015004087686,216.69258114282792,222.7106475830078,24708305,0.0,0
2017-12-08,223.13447639123717,229.11014717850668,222.3292324163798,227.16064453125,24853991,0.0,0
2017-12-11,226.6096861071798,228.4744220290316,224.9992241260375,227.7963409423828,31113240,0.0,0
2017-12-12,228.6439633868287,230.63586221719402,227.075871717514,228.60159301757812,26992847,0.0,0
2017-12-13,228.72873427075407,229.8306225632417,226.9487389876199,227.35728454589844,21666111,0.0,0
2017-12-14,233.0939223717969,234.06867360101572,230.33917601649387,232.11917114257812,36065399,0.0,0
