Date,Pearson,education,Edexcel,publisher,penguin,books
2018-04-25,80,87,100,73,100,92
2018-04-26,70,88,82,71,78,88
2018-04-27,76,84,69,68,76,90
2018-04-28,43,56,47,34,73,88
2018-04-29,50,62,76,44,83,89
2018-04-30,82,88,96,62,68,88
2018-05-01,100,100,54,84,100,100
2018-05-02,88,96,56,100,92,94
2018-05-03,98,97,46,97,95,91
2018-05-04,89,85,52,86,90,86
2018-05-05,62,58,32,48,93,80
2018-05-06,62,92,38,60,88,85
2018-05-07,90,96,41,84,81,94
2018-05-08,93,97,66,93,90,95
2018-05-09,88,99,68,81,84,93
2018-05-10,87,96,63,92,88,92
2018-05-11,83,84,55,76,78,87
2018-05-12,52,57,52,35,81,82
2018-05-13,52,56,58,42,72,82
2018-05-14,86,95,83,92,86,89
2018-05-15,86,90,80,81,84,91
2018-05-16,93,90,77,82,89,90
2018-05-17,86,89,62,86,90,93
2018-05-18,73,85,53,76,84,82
2018-05-19,53,61,42,50,68,79
2018-05-20,58,64,53,38,77,91
2018-05-21,79,91,70,82,89,94
2018-05-22,80,93,83,90,81,92
2018-05-23,87,94,100,99,78,97
2018-05-24,85,87,82,89,85,88
2018-05-25,73,80,36,65,84,86
2018-05-26,51,60,30,36,71,81
2018-05-27,52,60,35,59,80,86
2018-05-28,60,75,35,70,69,88
2018-05-29,79,90,41,80,81,93
2018-05-30,84,90,44,66,80,92
2018-05-31,66,92,49,81,91,90
2018-06-01,87,90,32,81,89,94
2018-06-02,52,69,43,59,100,95
2018-06-03,62,68,59,55,90,98
2018-06-04,92,93,66,85,88,97
2018-06-05,90,100,70,92,93,97
2018-06-06,95,98,100,90,90,98
2018-06-07,82,94,74,83,83,92
2018-06-08,81,90,56,85,98,95
2018-06-09,52,66,48,59,93,95
2018-06-10,69,69,58,60,91,100
2018-06-11,93,91,66,100,86,93
2018-06-12,100,93,76,93,78,94
2018-06-13,84,87,67,83,90,93
2018-06-14,74,83,52,85,80,90
2018-06-15,75,74,41,67,88,85
2018-06-16,47,53,33,35,86,88
2018-06-17,50,55,31,51,89,89
2018-06-18,79,86,53,66,87,89
2018-06-19,72,85,56,67,82,88
2018-06-20,85,89,40,85,89,94
2018-06-21,80,87,40,68,79,88
2018-06-22,70,75,39,70,81,88
2018-06-23,48,60,25,37,86,88
2018-06-24,51,56,19,49,91,91
2018-06-25,72,88,29,64,87,93
2018-06-26,77,89,25,71,82,93
2018-06-27,69,84,22,71,88,90
2018-06-28,74,85,19,72,87,89
2018-06-29,76,78,12,73,95,90
2018-06-30,51,61,8,48,76,91
