Date,network,BT,EE,data,services,communications
2018-06-02,81,72,74,70,55,45
2018-06-03,84,74,70,74,56,53
2018-06-04,91,84,72,98,100,97
2018-06-05,95,79,84,100,100,100
2018-06-06,98,80,81,98,98,97
2018-06-07,92,77,80,98,94,92
2018-06-08,87,79,83,90,86,73
2018-06-09,79,100,83,68,53,45
2018-06-10,74,71,78,68,51,46
2018-06-11,88,80,87,92,96,93
2018-06-12,91,79,86,94,95,88
2018-06-13,96,79,84,97,94,92
2018-06-14,92,80,82,93,90,82
2018-06-15,87,77,75,79,83,78
2018-06-16,74,69,76,65,49,44
2018-06-17,77,70,74,62,45,45
2018-06-18,100,79,83,90,93,87
2018-06-19,94,79,77,90,95,91
2018-06-20,95,74,82,94,92,89
2018-06-21,93,80,79,92,92,79
2018-06-22,97,78,73,84,84,76
2018-06-23,81,66,74,66,50,47
2018-06-24,78,65,71,63,47,48
2018-06-25,91,78,86,90,96,91
2018-06-26,89,77,75,91,90,89
2018-06-27,93,74,74,93,90,82
2018-06-28,92,79,84,95,90,86
2018-06-29,96,82,100,90,89,88
2018-06-30,80,66,91,66,54,42
2018-07-01,74,81,94,67,50,45
2018-07-02,89,86,100,87,90,85
2018-07-03,89,90,96,91,90,86
2018-07-04,87,100,92,91,71,69
2018-07-05,96,91,92,94,91,87
2018-07-06,88,90,81,84,83,87
2018-07-07,71,75,85,64,50,45
2018-07-08,76,86,92,67,52,49
2018-07-09,94,93,94,96,95,100
2018-07-10,92,90,90,92,94,85
2018-07-11,90,80,80,94,90,91
2018-07-12,99,95,83,98,91,91
2018-07-13,100,91,81,89,88,85
2018-07-14,79,77,83,69,55,42
2018-07-15,76,82,84,69,54,49
2018-07-16,100,92,89,95,99,86
2018-07-17,91,96,86,94,99,93
2018-07-18,94,90,92,99,100,94
2018-07-19,91,92,90,100,97,94
2018-07-20,91,88,84,90,89,79
2018-07-21,83,79,87,69,53,51
2018-07-22,82,78,83,72,54,47
2018-07-23,98,91,89,95,98,89
2018-07-24,98,97,86,95,97,95
2018-07-25,92,96,86,98,96,99
2018-07-26,96,98,90,94,93,92
2018-07-27,91,97,93,86,85,90
2018-07-28,100,87,87,68,50,50
2018-07-29,82,88,92,70,51,44
2018-07-30,97,95,93,98,99,98
2018-07-31,95,95,93,95,94,94
2018-08-01,99,71,88,100,95,96
2018-08-02,89,70,89,97,95,98
2018-08-03,88,69,100,89,90,98
2018-08-04,76,63,92,72,59,54
2018-08-05,77,77,84,68,57,52
2018-08-06,100,71,98,93,98,89
2018-08-07,97,72,82,95,98,94
2018-08-08,96,71,91,96,96,97
2018-08-09,96,72,84,97,93,93
2018-08-10,89,73,87,90,87,82
2018-08-11,80,70,94,65,57,39
2018-08-12,76,67,89,67,53,43
2018-08-13,88,70,98,93,99,93
2018-08-14,89,72,97,92,94,94
2018-08-15,90,78,92,88,90,84
2018-08-16,92,73,97,95,89,93
2018-08-17,87,71,88,87,87,89
2018-08-18,81,100,88,68,54,43
2018-08-19,83,67,88,68,55,45
2018-08-20,91,72,93,93,93,95
2018-08-21,93,66,93,90,92,96
2018-08-22,88,67,94,93,91,87
2018-08-23,96,71,90,93,94,94
2018-08-24,88,67,91,87,86,77
2018-08-25,85,72,87,64,52,39
2018-08-26,74,68,83,69,49,40
2018-08-27,89,68,81,93,93,81
2018-08-28,98,72,86,97,100,100
2018-08-29,95,72,93,100,95,93
2018-08-30,91,71,84,99,94,81
2018-08-31,93,72,89,88,90,75
2018-09-01,96,72,78,62,53,40
2018-09-02,76,69,69,65,51,45
2018-09-03,85,80,81,81,72,69
2018-09-04,87,69,80,90,100,90
2018-09-05,87,73,76,96,97,91
2018-09-06,93,75,79,94,92,83
