Date,homes,site,property,building,Barratt Developments,developments
2018-05-27,100,88,68,61,0,60
2018-05-28,96,97,77,74,0,70
2018-05-29,94,95,95,96,0,71
2018-05-30,94,97,100,91,47,81
2018-05-31,91,93,98,97,49,67
2018-06-01,82,92,88,91,0,76
2018-06-02,91,89,73,71,0,53
2018-06-03,98,89,79,69,0,36
2018-06-04,92,100,96,100,34,100
2018-06-05,88,99,100,100,0,98
2018-06-06,84,97,100,98,0,83
2018-06-07,82,98,93,90,33,80
2018-06-08,82,96,86,84,0,83
2018-06-09,85,87,70,73,40,48
2018-06-10,100,86,76,67,79,57
2018-06-11,91,96,95,94,33,74
2018-06-12,87,97,96,98,0,69
2018-06-13,88,98,96,100,0,69
2018-06-14,85,95,92,96,34,73
2018-06-15,80,96,87,83,0,63
2018-06-16,85,84,69,68,0,44
2018-06-17,82,83,70,60,39,50
2018-06-18,90,93,98,89,34,90
2018-06-19,87,96,92,94,0,79
2018-06-20,86,96,95,95,0,74
2018-06-21,84,92,93,91,0,76
2018-06-22,81,90,89,85,35,64
2018-06-23,90,85,67,67,0,57
2018-06-24,95,85,71,68,0,40
2018-06-25,93,97,95,92,100,78
2018-06-26,84,98,93,93,0,62
2018-06-27,82,91,94,91,0,70
2018-06-28,82,96,93,91,34,64
2018-06-29,81,96,96,85,0,80
2018-06-30,84,89,74,64,0,38
2018-07-01,90,81,72,62,0,46
2018-07-02,87,84,92,87,0,83
2018-07-03,83,95,88,83,0,71
2018-07-04,80,96,80,78,34,80
2018-07-05,83,97,96,93,100,100
2018-07-06,85,85,84,80,33,70
2018-07-07,89,81,70,64,0,48
2018-07-08,98,82,75,67,0,59
2018-07-09,96,95,97,94,0,74
2018-07-10,83,90,92,92,62,88
2018-07-11,83,93,91,92,30,77
2018-07-12,85,92,92,91,67,92
2018-07-13,83,92,90,84,35,73
2018-07-14,91,82,71,67,0,31
2018-07-15,97,77,75,68,38,38
2018-07-16,91,100,97,95,0,87
2018-07-17,88,99,96,99,0,96
2018-07-18,86,95,95,98,0,83
2018-07-19,89,93,96,96,67,93
2018-07-20,85,94,89,89,69,70
2018-07-21,90,87,70,74,39,58
2018-07-22,100,88,76,76,0,66
2018-07-23,95,97,97,100,0,86
2018-07-24,87,99,97,97,0,77
2018-07-25,89,95,97,95,33,80
2018-07-26,81,94,92,90,33,88
2018-07-27,84,91,90,87,0,92
2018-07-28,86,83,72,70,0,45
2018-07-29,94,87,73,70,0,72
2018-07-30,93,95,99,96,65,94
2018-07-31,91,96,100,97,0,83
2018-08-01,90,100,94,89,64,72
2018-08-02,86,90,91,89,0,75
2018-08-03,87,91,91,85,0,55
2018-08-04,93,84,74,71,37,45
2018-08-05,100,86,78,70,73,53
2018-08-06,99,93,96,92,32,58
2018-08-07,92,91,93,95,31,71
2018-08-08,88,95,94,86,0,69
2018-08-09,84,93,91,87,0,77
2018-08-10,84,94,89,83,0,87
2018-08-11,94,86,71,67,0,41
2018-08-12,98,85,75,65,0,49
2018-08-13,90,94,99,91,0,75
