Date,takeaway,Just Eat,food,SkipTheDishes,delivery,restaurants
2018-05-31,52,56,88,18,76,74
2018-06-01,78,76,87,65,91,73
2018-06-02,87,94,96,59,97,94
2018-06-03,77,90,100,73,96,89
2018-06-04,48,50,87,50,83,64
2018-06-05,46,44,85,87,80,62
2018-06-06,48,51,86,50,84,62
2018-06-07,49,44,83,61,85,62
2018-06-08,68,68,89,91,87,71
2018-06-09,90,91,98,73,99,88
2018-06-10,71,87,100,44,97,84
2018-06-11,44,51,88,48,85,59
2018-06-12,46,49,87,46,86,63
2018-06-13,45,47,87,81,84,60
2018-06-14,49,47,82,49,86,61
2018-06-15,76,85,89,53,91,71
2018-06-16,100,100,94,44,92,86
2018-06-17,75,97,92,43,95,80
2018-06-18,49,47,83,86,79,58
2018-06-19,41,45,82,73,81,58
2018-06-20,47,45,85,63,85,60
2018-06-21,47,51,85,87,83,58
2018-06-22,65,71,89,39,89,71
2018-06-23,84,84,95,100,94,83
2018-06-24,77,84,94,100,95,80
2018-06-25,48,52,86,61,83,59
2018-06-26,44,46,83,61,86,61
2018-06-27,51,49,81,85,82,65
2018-06-28,56,55,83,62,94,71
2018-06-29,73,82,88,66,100,77
2018-06-30,80,93,95,71,100,100
2018-07-01,67,87,93,32,96,88
2018-07-02,47,50,84,67,84,71
2018-07-03,46,48,83,19,82,68
2018-07-04,42,47,86,30,83,79
2018-07-05,47,50,82,60,84,78
2018-07-06,61,70,86,68,87,85
2018-07-07,66,86,89,77,95,100
2018-07-08,72,100,96,100,96,98
2018-07-09,44,56,86,48,88,74
2018-07-10,46,47,82,46,82,73
2018-07-11,50,61,82,27,82,74
2018-07-12,49,65,83,60,84,74
2018-07-13,65,83,91,82,87,83
2018-07-14,73,83,96,45,91,97
2018-07-15,74,85,94,34,99,89
2018-07-16,43,50,83,0,84,67
2018-07-17,46,48,83,29,88,67
2018-07-18,41,48,85,20,82,67
2018-07-19,49,46,87,10,84,67
2018-07-20,66,81,92,62,92,74
2018-07-21,85,86,100,23,92,92
2018-07-22,77,86,100,91,100,86
2018-07-23,55,56,86,69,84,64
2018-07-24,51,49,85,39,81,63
2018-07-25,49,51,88,10,86,66
2018-07-26,54,57,85,69,85,65
2018-07-27,78,73,86,40,92,73
2018-07-28,100,97,99,55,98,91
2018-07-29,83,87,96,34,99,87
2018-07-30,62,54,88,10,86,63
2018-07-31,51,55,83,58,89,63
2018-08-01,56,48,90,75,87,68
2018-08-02,56,60,90,31,87,71
2018-08-03,73,77,91,34,92,82
2018-08-04,90,85,97,62,99,100
2018-08-05,87,86,100,49,100,94
2018-08-06,50,57,88,21,85,73
2018-08-07,54,58,87,52,83,67
2018-08-08,55,44,85,21,84,66
2018-08-09,52,52,89,74,85,69
2018-08-10,73,76,91,55,90,77
2018-08-11,100,88,98,12,100,99
2018-08-12,88,90,97,24,97,89
2018-08-13,58,53,89,43,84,67
2018-08-14,52,50,85,74,83,64
2018-08-15,54,64,88,33,83,69
2018-08-16,61,66,85,43,80,65
2018-08-17,77,72,91,44,89,76
2018-08-18,99,99,96,25,96,95
2018-08-19,90,91,98,50,96,85
2018-08-20,62,54,84,33,81,64
2018-08-21,58,52,86,88,84,62
2018-08-22,51,51,87,56,82,64
2018-08-23,62,54,83,22,81,65
2018-08-24,75,85,86,11,88,73
2018-08-25,88,93,97,74,93,86
2018-08-26,95,100,96,100,92,83
2018-08-27,67,72,85,76,79,59
2018-08-28,53,55,82,21,79,59
2018-08-29,54,48,85,21,80,58
2018-08-30,55,55,85,21,83,60
2018-08-31,73,78,88,99,87,67
