,Date,Open,High,Low,Close,Volume,spill,BP,gas,British Petroleum,oil,petroleum
229,2017-11-27,401.3498708015421,403.91851977325285,398.2996215820313,398.2996215820313,26928203,40,85,93,52,95,82
230,2017-11-28,397.57718979058177,403.998788007245,397.57718979058177,402.4736633300781,40038258,43,97,93,53,92,86
231,2017-11-29,399.3431273364925,401.6709517221785,395.5303035076515,396.9350280761719,35546415,41,91,93,54,97,93
232,2017-11-30,395.7310188434656,397.978568583954,392.6004943847657,392.6004943847656,61065242,37,96,95,41,96,75
233,2017-12-01,395.6908276889026,398.1390519801194,393.6038035655232,394.9282531738281,38094990,86,87,94,96,85,75
234,2017-12-04,397.5772485455298,398.4200981338972,393.6038987596499,395.7310485839844,32669291,100,91,100,0,87,83
235,2017-12-05,395.77109996888106,397.8581242077829,394.28612503593473,394.72760009765625,45666974,96,91,95,18,86,84
236,2017-12-06,393.6038506883651,398.2594997162884,393.6038506883651,396.734375,30207025,99,96,98,19,87,100
237,2017-12-07,395.9317067783402,397.2160314563346,391.67740730996826,391.8780822753906,27191525,91,97,99,74,87,81
238,2017-12-08,391.71748012192415,396.05205389611393,387.4230315368707,395.5303039550781,40251671,61,89,89,96,85,68
239,2017-12-11,395.2092177716008,401.1491908864368,395.0888177111453,400.3063659667969,29547682,71,95,96,90,86,74
240,2017-12-12,401.189348429292,410.2598708261938,401.189348429292,410.1795959472656,42704788,94,94,99,54,87,96
241,2017-12-13,409.1361609006825,410.661285856392,405.64360295026063,407.5291442871094,50358314,89,87,97,54,86,80
242,2017-12-14,405.3634298415411,407.6109796539615,404.3199298207294,404.5607299804688,35838377,93,99,92,37,87,82
