,Date,Open,High,Low,Close,Volume,treatment,MedImmune,Covid,research,drug,AstraZeneca
177,2017-09-14,4280.399927336923,4359.695488757707,4243.843716777368,4259.130859375,3065196,95,0,0.0,93,96,62
178,2017-09-15,4241.849781429607,4292.787451486034,4170.066676385044,4182.4736328125,3881850,94,44,100.0,84,93,45
179,2017-09-18,4200.19791749602,4219.49248321193,4159.432202925956,4174.0546875,1470511,100,84,0.0,96,100,73
180,2017-09-19,4217.478805586739,4295.033963606505,4169.002883251811,4230.77197265625,2993864,98,82,94.0,93,99,59
181,2017-09-20,4229.443209612811,4276.313313116079,4193.990432250279,4211.27587890625,1809753,95,42,0.0,93,98,86
182,2017-09-21,4234.316955304013,4310.782093426685,4223.2393157181405,4225.89794921875,1851712,98,84,0.0,88,95,100
183,2017-09-22,4265.7780128006825,4426.625360743618,4218.552644329661,4353.06982421875,4223049,93,0,0.0,85,92,94
184,2017-09-25,4367.692167493344,4474.436486178431,4336.674773588044,4369.021484375,2256529,99,83,0.0,98,98,89
185,2017-09-26,4398.266132161191,4444.201123656208,4317.177808346412,4331.80029296875,2404788,99,0,0.0,100,98,81
186,2017-09-27,4347.30961811556,4395.51596548185,4287.490354182668,4326.9267578125,2031130,96,0,0.0,96,97,89
187,2017-09-28,4329.584681983586,4427.071372692491,4317.620831158332,4350.41064453125,2041412,93,0,0.0,94,94,74
188,2017-09-29,4347.3093007970165,4426.25653019779,4341.105822027151,4391.1767578125,2317862,97,44,0.0,84,93,52
189,2017-10-02,4406.685057291281,4510.521485745212,4387.631517073732,4485.11474609375,3213677,91,35,0.0,90,88,72
190,2017-10-03,4492.203749299707,4549.363495780691,4458.527729873116,4498.4072265625,1653235,92,0,0.0,98,94,81
191,2017-10-04,4492.204782118312,4583.1201894514725,4488.6599371531365,4501.06689453125,1435037,94,35,0.0,95,95,76
192,2017-10-05,4510.814665820733,4553.885478858176,4501.952554492991,4520.56298828125,1496297,93,70,0.0,94,86,44
193,2017-10-06,4536.515806518602,4611.414078371443,4517.905368554763,4567.533203125,2176814,84,18,0.0,86,85,65
194,2017-10-09,4569.305482420365,4678.817486494803,4485.127957449389,4583.48486328125,1671187,93,17,100.0,93,94,71
195,2017-10-10,4580.826152695222,4650.26868269664,4544.491489847378,4579.93994140625,1775029,100,100,99.0,98,93,64
196,2017-10-11,4580.825767534874,4622.909982213653,4540.060051669793,4562.21533203125,2029714,95,51,0.0,100,98,56
197,2017-10-12,4550.695187824384,4657.7887211491725,4537.402017850213,4567.533203125,2108332,92,0,0.0,99,97,67
198,2017-10-13,4535.628591967159,4664.992483588903,4519.676791526477,4543.6044921875,1492921,88,54,0.0,88,93,62
199,2017-10-16,4587.915102240695,4653.527613777842,4545.376967238271,4568.41845703125,2029967,91,34,0.0,97,98,99
200,2017-10-17,4579.939414561556,4658.980538406162,4542.718544706374,4578.1669921875,2113688,96,34,0.0,92,100,64
201,2017-10-18,4608.297875712423,4662.712017987528,4568.418374864911,4587.02880859375,1601726,93,17,0.0,95,91,100
202,2017-10-19,4595.891389832427,4648.541336916494,4563.98778589221,4586.14306640625,2555117,89,53,0.0,88,88,83
203,2017-10-20,4592.346783927317,4653.940197842844,4569.719837084245,4574.62255859375,1809138,88,18,0.0,75,84,65
204,2017-10-23,4570.191568313777,4667.681732582953,4555.1259765625,4555.1259765625,1963107,96,34,0.0,98,92,76
205,2017-10-24,4546.263667837235,4582.628619153567,4477.408775783566,4501.06689453125,2217093,93,34,0.0,100,91,64
206,2017-10-25,4519.677743996305,4625.290074367993,4484.814329045488,4497.5224609375,2486946,95,68,0.0,97,90,71
207,2017-10-26,4498.40819113552,4566.645590217609,4464.732164487933,4475.36669921875,2316306,94,17,0.0,94,91,62
208,2017-10-27,4461.1867795372245,4539.420441398912,4439.917712650276,4450.55224609375,1975788,85,18,0.0,81,88,58
209,2017-10-30,4445.235486294297,4539.811272793122,4408.29804680909,4451.43896484375,1477259,92,51,0.0,95,85,49
210,2017-10-31,4446.121870225867,4572.196239368431,4431.056278877683,4459.4150390625,2136771,93,0,0.0,91,84,75
