,Date,Open,High,Low,Close,Volume,bank,capital,Barclays,banking,business,London
428,2018-09-12,159.8444619775114,160.06431039542807,157.3162680691671,157.75595092773438,44363997,89,96,60,84,97,96
429,2018-09-13,158.14067356217103,159.67958451734953,157.31626646361298,157.7376251220703,37694060,80,92,63,75,93,94
430,2018-09-14,157.55443176931936,157.93915603008875,156.63841763112566,156.71170043945312,52296269,93,94,70,83,84,93
431,2018-09-17,156.29033132138565,157.3529111002713,154.98959289299808,156.76666259765625,37770697,92,94,69,82,98,98
432,2018-09-18,156.45520820246327,156.83993244012663,154.8979870565117,155.22775268554688,37577249,85,96,64,80,99,96
433,2018-09-19,154.80639414849398,158.83685089044738,154.20182144402088,158.5803680419922,65874933,88,96,58,77,98,96
434,2018-09-20,159.47805164625154,160.5223071038358,158.8551548242676,159.62460327148438,53951833,84,97,100,75,95,96
435,2018-09-21,160.57725391206765,162.83064048153034,159.95435713585096,161.6764678955078,91188368,89,94,70,78,85,99
436,2018-09-24,161.03527371526812,162.70241202771626,160.7787908979684,161.2001495361328,27564081,91,96,71,82,97,99
437,2018-09-25,161.20015671492453,161.56657073971695,159.8627839619133,160.41238403320312,72762296,89,98,68,83,99,92
438,2018-09-26,160.46734307743702,161.31008834811036,159.36812895461284,160.85208129882812,35147625,88,95,61,87,100,97
439,2018-09-27,160.10093327973223,162.37264419220412,159.2032434314374,161.8413543701172,66701076,85,93,65,87,95,93
440,2018-09-28,160.30245632928853,160.4673321467115,156.5284829730038,157.35289001464844,59694245,100,91,85,100,84,90
441,2018-10-01,158.19562916360377,159.51469167802674,156.3636009996309,157.9208221435547,51310092,100,97,100,100,96,84
442,2018-10-02,157.0048131684074,157.15137878083627,155.1727849448448,155.9788818359375,54657741,85,96,88,78,94,86
443,2018-10-03,157.18803039590193,158.37883758382364,156.08880225741052,158.03076171875,61715180,91,97,88,88,99,86
444,2018-10-04,157.64604179441852,161.65817429203506,157.24299332952856,159.66127014160156,53882628,91,96,82,93,100,86
445,2018-10-05,160.3940753888805,161.0536066627131,158.4154815673828,158.4154815673828,44503624,95,91,97,87,87,84
446,2018-10-08,157.99410634547246,158.0673891499517,154.40333278958283,154.80638122558594,34660360,89,90,88,88,96,85
447,2018-10-09,155.68575912478323,155.68575912478323,153.1392271243132,153.67051696777344,33198560,91,97,80,87,98,87
448,2018-10-10,153.89037941524984,158.87349869934442,153.43237233365682,157.22467041015625,108893129,90,95,79,87,100,87
449,2018-10-11,154.8063796815418,156.51016643121034,153.26748273462346,153.89036560058594,78297935,87,97,80,84,95,92
450,2018-10-12,153.61555387291523,156.1803960164388,151.08736011877545,151.14231872558594,66516750,92,92,82,86,87,90
451,2018-10-15,150.35455028786276,151.1972815628219,149.05381197364767,149.6400604248047,43756978,93,90,84,89,99,94
452,2018-10-16,149.67670775731057,150.22632184276398,147.69812779966523,149.1637420654297,40971219,87,96,80,84,99,88
453,2018-10-17,149.67670384248603,151.2705734667995,149.12710374867433,151.10569763183594,39514446,82,93,79,78,97,87
454,2018-10-18,151.34384293540128,152.22320859889982,150.3362218863246,151.14231872558594,54750514,74,93,85,68,94,84
455,2018-10-19,150.95912651405615,151.12400234301066,148.83396709242507,149.6950225830078,39041376,82,90,89,71,85,86
456,2018-10-22,151.0140826929434,152.14994519076643,150.4827928460874,151.43545532226562,65195405,83,94,89,81,95,91
457,2018-10-23,149.53012532089616,152.25984303469096,149.49347693487093,151.83847045898438,63482466,84,97,86,78,98,91
458,2018-10-24,154.80636542699804,157.44449020995788,150.3362126508193,156.36358642578125,78197132,84,100,86,75,95,85
459,2018-10-25,155.50257000194517,159.4780823662246,154.7331214065109,157.60940551757812,49989302,87,95,85,80,97,85
460,2018-10-26,155.72239735318203,155.86896296405828,152.47971358182457,153.94532775878906,53724595,87,88,92,84,83,86
461,2018-10-29,154.25675830394135,159.60629090496386,153.67050987910855,158.47042846679688,41751357,88,93,89,86,92,84
462,2018-10-30,158.4887613700924,158.67196139218223,154.95294643242167,155.68576049804688,36174619,87,94,97,89,93,83
463,2018-10-31,157.51779443761603,159.111650063115,156.9498561779091,158.01243591308594,64958723,92,90,90,95,97,80
464,2018-11-01,157.9758078340622,163.30700296528772,157.35291093846166,160.797119140625,52198345,95,93,96,98,91,93
465,2018-11-02,163.5085238033461,165.79855915073188,160.96200561523438,160.96200561523438,145881987,96,94,82,98,85,98
466,2018-11-05,161.5665721436685,161.74977216902371,160.11926818201007,160.2108612060547,23418021,94,98,86,96,94,98
467,2018-11-06,160.30247001638364,160.87039429457366,157.5361034773235,158.43380737304688,26906631,86,94,80,86,89,98
468,2018-11-07,158.56204775109865,161.8047315447589,158.56204775109865,160.6688690185547,45259728,73,88,75,69,90,90
469,2018-11-08,161.34671469347262,164.88252949620406,161.34671469347262,163.87490844726562,36094586,80,99,80,74,89,92
470,2018-11-09,161.95130920410153,163.05052342047154,158.78189400334654,161.95130920410156,41871763,87,87,83,77,81,95
471,2018-11-12,162.3176965860359,162.33602078176762,156.29032209877414,156.40025329589844,43030561,89,96,79,85,89,92
472,2018-11-13,157.27962433910088,160.83376365912997,156.51017581948625,160.72384643554688,43385986,88,98,81,83,95,93
473,2018-11-14,160.30247793132384,161.9146578204171,158.03076672913178,159.00173950195312,34710962,87,93,79,78,96,93
474,2018-11-15,158.48875410294806,159.78949237058913,147.00193014243493,152.4613800048828,98099954,90,94,73,80,93,92
475,2018-11-16,153.41404351772698,154.75143030570956,149.71335255987432,151.12400817871094,57852586,89,91,82,76,83,94
476,2018-11-19,151.14234057583738,153.7071830901535,151.14234057583738,152.1316375732422,23590867,90,93,79,78,89,94
477,2018-11-20,150.95911507658724,151.98504631839447,147.18512776501876,147.972900390625,37539709,84,92,84,80,93,92
478,2018-11-21,149.34693586468129,152.90107512038583,148.4126115266019,152.64459228515625,40538141,85,88,77,74,84,90
479,2018-11-22,152.73619062411552,153.50563908615771,150.59270708376167,151.61865234375,33473310,71,77,74,75,73,89
480,2018-11-23,151.50871991622793,153.4323550329199,149.3652503706102,150.720947265625,36989462,81,75,88,76,70,93
481,2018-11-26,152.47970786825226,155.0811844661286,152.47970786825226,154.5315704345703,35798057,89,97,84,80,90,88
482,2018-11-27,152.99268297759903,154.8063870303556,151.25224775480328,154.2201385498047,35348177,87,97,85,83,100,91
483,2018-11-28,154.33004991567665,155.79567805007116,152.20490449579688,152.79115295410156,46528217,87,98,85,87,96,89
484,2018-11-29,153.34073496397812,154.80636292577873,152.40641076616276,153.19418334960938,48274071,91,100,82,87,95,93
485,2018-11-30,153.487333317589,153.487333317589,147.97292405640832,149.2003936767578,56930709,100,94,100,100,83,92
486,2018-12-03,151.1789593264779,153.4689945524303,149.10877251403258,149.67669677734375,39053819,96,99,94,100,100,93
487,2018-12-04,150.3179250024037,151.61866339560294,145.53633010403948,145.75616455078125,77755231,92,100,85,94,99,94
488,2018-12-05,142.0554640317532,147.78970709343162,140.55320151203708,145.15159606933594,69986594,91,99,90,89,97,91
489,2018-12-06,143.83251669729785,143.97906830897668,139.58221245880722,140.44326782226562,69360218,88,97,79,92,97,91
490,2018-12-07,141.26770889042683,144.40047572943723,140.44330171389095,141.3959503173828,52239594,92,90,95,88,87,93
491,2018-12-10,140.51656910945186,142.33028724288022,139.43567909007578,140.4799346923828,61971887,92,96,87,93,94,97
492,2018-12-11,139.41733596027805,142.27530930790564,138.4646874959123,141.10279846191406,53710603,87,96,83,80,94,88
493,2018-12-12,140.0402384792109,146.0859230837123,138.94101038996905,145.646240234375,85761698,88,96,70,82,94,84
494,2018-12-13,146.598890358051,149.5484568771065,145.42639342867977,145.66456604003906,55348886,87,94,81,81,96,88
495,2018-12-14,143.70429056288083,145.64623590218503,142.34857968707848,145.13327026367188,44436672,93,97,85,82,85,82
496,2018-12-17,143.26460925244905,145.07832735565822,139.25247673004745,140.00360107421875,60747200,90,89,78,81,88,86
497,2018-12-18,139.2891017248172,142.07379241439034,139.2891017248172,139.41734313964844,38879220,90,89,83,86,92,87
498,2018-12-19,139.41734344273564,140.60816457005245,138.33645351213167,138.739501953125,33971431,91,93,81,88,89,89
499,2018-12-20,136.30290264664288,137.67692381449763,135.3319299243881,135.42352294921875,83225321,95,92,86,94,87,94
500,2018-12-21,135.6433679586661,136.48609924316406,133.8846225852878,136.48609924316406,104312937,97,89,100,94,79,90
501,2018-12-24,135.62504650450063,136.8708262496481,134.0128667073017,134.0678253173828,21661736,92,72,82,72,54,79
502,2018-12-27,136.2296169775447,136.70594821935873,132.82204343469405,133.81134033203125,28846377,94,84,94,88,75,95
503,2018-12-28,133.06021143078524,137.76852363926838,133.06021143078524,137.53036499023438,23548059,96,86,86,92,71,96
504,2018-12-31,135.66168099211052,137.87843322753906,135.35022560479516,137.87843322753906,11218424,100,76,93,87,66,99
505,2019-01-02,135.97313131713685,138.50132512837527,133.22508909642596,138.02499389648438,30140271,100,88,100,100,79,88
506,2019-01-03,136.87082555608285,141.2676960447505,136.15633567411678,137.64027404785156,43761563,96,88,92,88,85,86
507,2019-01-04,140.18680578636918,143.42950385314973,138.26318436962993,142.0738067626953,34380996,94,89,87,85,85,87
508,2019-01-07,142.12875420243168,143.90582383145284,139.94863612428,142.36691284179688,41121106,93,92,84,89,92,84
509,2019-01-08,142.98980725575544,145.8660909838373,142.67835183760695,144.1073455810547,23750186,88,93,71,77,94,84
510,2019-01-09,145.6462417960417,145.6462417960417,143.06307532679784,143.6493377685547,29908109,88,97,76,79,94,87
511,2019-01-10,143.37453481263526,146.06761857751218,142.38523787999068,145.9576873779297,24283222,86,96,76,84,98,86
512,2019-01-11,145.20655288646606,145.51799431271192,142.47682092062053,144.01573181152344,29964836,90,96,75,81,88,86
513,2019-01-14,142.97148773300916,145.92105436310405,142.8982049250064,145.75616455078125,39430540,85,95,89,76,88,87
514,2019-01-15,147.4782752639406,148.7240550426521,144.49207422519473,145.73785400390625,31620615,84,93,78,74,93,85
515,2019-01-16,146.8553977869505,148.2660534524465,145.26152810646002,147.8446807861328,52890246,84,94,76,72,96,85
516,2019-01-17,146.34240113396052,147.60650500896864,144.54702140436302,146.91033935546875,25949153,83,95,76,70,94,83
517,2019-01-18,148.19276027459858,152.07666509814004,147.1301805619411,151.9300994873047,40871801,84,94,85,76,84,86
518,2019-01-21,151.93010476118673,152.00338756914823,149.47517961490846,151.10569763183594,19081195,84,88,81,75,87,87
519,2019-01-22,149.3835708376935,150.3179090691081,148.33931539455892,149.54844665527344,23556175,84,96,73,71,94,88
520,2019-01-23,148.79734359803396,149.51183353046883,147.31340511947948,149.18206787109375,16472115,85,100,72,72,96,85
521,2019-01-24,149.82326268288858,150.73927677508257,147.93627588933143,148.9988555908203,23991637,88,97,82,73,98,84
522,2019-01-25,149.76831803146194,150.61104939754733,149.3103109426807,150.31793212890625,29903977,90,98,88,75,86,82
523,2019-01-28,149.40191041354365,149.40191041354365,145.73785388815708,146.6355438232422,26265295,87,97,83,78,95,85
524,2019-01-29,146.562245972621,148.88891547743978,145.93936313632457,147.75306701660156,64362766,86,100,87,82,100,89
525,2019-01-30,147.02027083596934,148.81566471704767,145.8294496474521,148.2477264404297,51379013,85,97,95,79,97,84
526,2019-01-31,147.20347064838742,148.21109180113743,143.5027796439783,144.89511108398438,49242728,95,95,89,90,95,88
527,2019-02-01,145.70120519159534,146.14088806008962,142.6233971576025,145.29815673828125,48364111,100,93,68,100,90,99
528,2019-02-04,145.18824091586646,146.19586205887057,144.3271853895296,145.0966339111328,35033974,92,91,74,93,91,95
529,2019-02-05,145.0416714410495,147.97291381008972,144.91343002419353,147.03858947753906,35828717,93,94,63,87,95,97
530,2019-02-06,146.3973873969838,148.2477259066815,145.26152482510403,148.0095672607422,42470095,88,92,65,83,100,95
531,2019-02-07,146.96530918121883,147.80804050313202,143.28292846679688,143.28292846679688,44383164,91,95,64,81,97,91
532,2019-02-08,143.7592452383965,144.76685229298462,141.92721716394723,142.84323120117188,33753322,92,94,67,82,89,100
533,2019-02-11,144.25389678126115,144.65694522225766,142.47682718810347,143.6676483154297,23954410,92,94,64,82,97,91
534,2019-02-12,144.58364730934804,145.26150270540097,144.07068170250346,144.78517150878906,18314982,88,94,60,83,97,91
535,2019-02-13,144.89508677247875,145.70118355942623,143.7592383660684,144.74853515625,16834071,85,96,57,79,93,89
536,2019-02-14,145.09662113388575,145.97600077918423,143.2462828011526,143.77757263183594,16196805,86,90,58,77,90,86
537,2019-02-15,143.70428058429152,146.50728118386365,143.41114939562976,146.10423278808594,24137384,90,88,61,79,84,92
538,2019-02-18,146.5622599529537,146.69050137132186,144.73023170354176,144.84014892578125,21331507,89,88,59,77,92,96
539,2019-02-19,144.73022614485063,145.70119884338396,143.997412077778,145.646240234375,24078775,87,93,56,71,94,94
540,2019-02-20,145.27983621911147,147.84466441787276,144.71189799458685,147.36834716796875,46171558,90,97,59,78,98,92
541,2019-02-21,151.78353643694558,154.47662017809546,146.5622587639337,147.27674865722656,54673325,88,93,56,75,98,92
542,2019-02-22,145.40808577342386,146.85538975365498,142.86156764968962,143.0264434814453,64590604,90,97,67,81,86,90
543,2019-02-25,143.3195842246454,146.30578540862467,141.6157972970334,145.8477783203125,123302392,94,92,63,81,92,90
