,Date,Open,High,Low,Close,Volume,government,aircraft,Airbus,defence,BAE Systems,aerospace
198,2017-10-13,502.41330918589546,505.28658791489977,501.3255579315715,503.6447143554688,4307488,81,87,52,80,18,84
199,2017-10-16,504.46557032329736,504.87603864740095,498.71901378584727,501.1818237304688,10599426,89,96,68,87,13,94
200,2017-10-17,501.18181683779153,504.0550950670008,497.3644414337294,501.59228515625,5992162,90,90,100,74,27,96
201,2017-10-18,503.6447170080933,506.9284641442504,501.5923750479951,505.2865905761719,5889671,86,92,57,70,33,100
202,2017-10-19,504.7035775756836,509.9504857898659,495.9587136077881,499.7065124511719,10598294,88,83,66,76,25,97
203,2017-10-20,502.6214434614925,505.7862410582415,495.54226820147153,496.7915344238281,7472607,80,77,61,76,12,86
204,2017-10-23,498.0408337921576,500.1229443013221,495.95872328299305,499.29010009765625,5326796,89,90,52,82,23,83
205,2017-10-24,497.6244214142304,501.101535865925,497.6244214142304,498.8736877441406,12284739,98,100,53,77,20,85
206,2017-10-25,497.6243815588161,498.86698869540464,488.6713069115236,490.1287841796875,12052830,96,90,55,84,27,96
207,2017-10-26,491.7944711298512,492.6273152807908,487.0056172619483,488.8795166015625,10455946,93,81,49,82,23,88
208,2017-10-27,488.8795302854173,496.3751278536776,488.8795302854173,492.2109069824219,6851581,80,73,49,70,24,95
209,2017-10-30,492.2109508867024,497.0622788009993,488.6088893452143,495.5423278808594,5758320,90,90,49,81,29,92
210,2017-10-31,493.4602465223844,495.1259351182406,490.9617136286002,494.2930908203125,7234019,88,80,48,77,14,79
211,2017-11-01,495.9586664573434,497.6243546738248,483.88242688785306,484.71527099609375,12432551,97,67,38,100,92,62
212,2017-11-02,485.5481872558594,488.0467199518587,483.7700566872955,485.5481872558594,10284448,98,78,45,95,52,79
213,2017-11-03,484.71530941416165,493.4601732437986,484.71530941416165,492.2109069824219,6187776,84,63,42,77,58,67
214,2017-11-06,492.6272928873698,493.04371494391023,487.2138061523437,487.21380615234375,5911266,91,79,43,86,80,89
215,2017-11-07,488.8795196058837,488.8795196058837,480.1346559672776,482.2167663574219,6410938,95,85,47,82,59,94
216,2017-11-08,481.8003980402361,483.0496644137198,472.6391113013552,474.7212219238281,10312030,96,91,41,83,64,91
217,2017-11-09,474.7211553695354,474.7211553695354,468.5872664689252,469.7240905761719,7150692,94,87,42,81,85,63
218,2017-11-10,470.556906556054,470.556906556054,463.0613098144531,463.0613098144531,7561060,82,78,38,78,58,78
219,2017-11-13,456.3985902583799,456.3985902583799,445.9880384732891,447.2373046875,11936100,91,74,45,83,75,79
220,2017-11-14,450.1522814126095,454.3165023322451,447.2373267688645,448.9030151367188,8551909,95,77,44,86,80,91
221,2017-11-15,446.8209362612291,450.782792184047,446.4045141398301,450.1523132324219,9799500,95,77,100,79,100,100
222,2017-11-16,451.4015808105469,452.2344250555848,447.2373595853573,451.4015808105469,7031107,92,78,61,85,84,75
223,2017-11-17,450.5687415428411,450.9851636699602,444.738831763174,445.9880981445313,9253366,84,85,45,69,52,78
224,2017-11-20,449.73587414449895,456.81504994121786,448.90302993312025,453.4836730957031,8879419,84,74,41,73,63,84
225,2017-11-21,451.81791275712254,454.7328670329749,450.15222459949257,452.6507568359375,10090351,76,74,42,79,54,70
226,2017-11-22,451.8180029330658,457.6479126483312,450.56873656550897,451.4015808105469,8851148,76,100,43,80,68,54
227,2017-11-23,450.9850686783076,453.90002295416,450.15222459949257,452.6507568359375,5813444,65,78,42,80,48,55
228,2017-11-24,451.4015808105469,453.4836914231416,450.15231444299,451.4015808105469,4188128,57,74,39,66,43,50
229,2017-11-27,450.5686466389001,454.3164449935675,447.2372703236402,452.6507568359375,6811726,88,77,45,80,49,78
230,2017-11-28,450.5686906927797,456.3985998144977,448.9030023722888,455.982177734375,7265592,98,76,43,87,41,86
231,2017-11-29,456.8150905440836,458.8972012575935,451.40160268895767,453.0672912597656,10153753,100,69,43,83,93,76
232,2017-11-30,458.0643225407255,469.3077195485433,458.0643225407255,459.7300109863281,24981635,97,74,39,79,64,80
233,2017-12-01,461.3956994319308,464.31065421173537,455.98221198372215,459.7300109863281,13254579,79,83,69,79,51,80
234,2017-12-04,467.64195226765366,468.0583743088537,459.3135114436527,463.0613098144531,11599572,90,92,78,85,65,81
235,2017-12-05,463.89425182861777,465.143518215948,457.6479198919667,458.8971862792969,9706163,95,93,69,100,42,92
236,2017-12-06,456.3986115753119,468.8912743009136,454.316501121045,467.2255859375,7994589,100,88,80,89,76,86
237,2017-12-07,467.2256003700008,469.3077108885837,459.3135803993858,461.3956909179688,8008070,99,97,84,78,66,93
238,2017-12-08,461.39569343827145,465.1434923921924,460.562849226289,463.8942260742188,5610266,84,93,70,86,38,77
239,2017-12-11,470.5569797700783,478.0525776779202,462.6449597562451,463.8942260742188,7106390,85,98,81,86,100,85
240,2017-12-12,465.1434297604565,465.1434297604565,461.81205336109787,462.6448974609375,6997580,89,96,82,84,35,91
241,2017-12-13,460.1463804457673,471.3897761670666,457.23142599950455,469.0960998535156,11729661,89,94,85,79,36,89
242,2017-12-14,469.3076671278212,471.3897774522569,466.3927126736111,468.4748229980469,8472893,87,87,100,78,53,79
243,2017-12-15,468.474874276251,470.5569848285899,466.39276372391214,468.8912963867188,12488272,80,82,100,89,38,82
